miRNA_ID	p1normal_read_count	p2normal_read_count	p3normal_read_count	p4normal_read_count	p1tumor_read_count	p2tumor_read_count	p3tumor_read_count	p4tumor_read_count
hsa-mir-181a-2	3535	4116	6295	2569	1263	1922	2844	1049
hsa-mir-181b-1	146	213	312	72	145	244	236	93
hsa-mir-181b-2	124	204	328	82	98	192	250	83
hsa-mir-181c	56	47	96	59	166	134	248	101
hsa-mir-181d	3	4	6	6	40	25	66	29
hsa-mir-182	408	501	949	299	19471	18960	21474	22093
hsa-mir-1825	0	0	0	0	0	0	0	0
hsa-mir-1827	0	0	0	0	0	0	0	0
hsa-mir-183	673	884	1651	1108	10787	5161	9642	9204
hsa-mir-184	0	3	1	0	1	0	0	1
hsa-mir-185	15	11	11	42	55	73	97	36
hsa-mir-186	51	58	172	95	365	494	650	295
hsa-mir-187	33	1	1	177	10	30	7	0
hsa-mir-188	1	1	0	0	9	5	8	5
hsa-mir-18a	1	3	11	13	70	15	59	44
hsa-mir-18b	1	0	0	1	1	2	1	2
hsa-mir-1908	0	0	1	0	0	0	0	0
hsa-mir-1909	0	0	0	0	0	0	0	0
hsa-mir-190a	0	1	1	0	7	14	1	2
hsa-mir-190b	0	0	0	0	0	0	0	0
hsa-mir-191	635	899	2844	1011	1420	898	814	596
hsa-mir-1910	0	0	0	0	0	0	0	0
hsa-mir-1911	0	0	0	0	0	0	0	0
hsa-mir-1912	0	0	0	0	0	0	0	0
hsa-mir-1913	0	0	0	0	0	0	0	0
hsa-mir-1914	1	0	0	2	0	0	0	0
hsa-mir-1915	0	0	0	0	0	0	0	0
hsa-mir-192	3875	5295	17857	11352	47124	108526	83398	117241
hsa-mir-193a	1423	1079	977	1091	213	289	193	116
hsa-mir-193b	229	115	258	197	40	55	97	18
hsa-mir-194-1	647	964	8162	4235	6189	14908	12831	14963
hsa-mir-194-2	3324	5336	14126	6808	7093	15996	14176	16499
hsa-mir-195	28	16	29	18	44	100	58	17
hsa-mir-196a-1	17	19	68	25	288	155	252	202
hsa-mir-196a-2	17	9	42	12	317	126	221	214
hsa-mir-196b	239	371	1244	219	13594	5717	11555	10345
hsa-mir-197	4476	2587	3433	12269	146	250	239	116
hsa-mir-1972-1	0	0	0	0	0	0	0	0
hsa-mir-1972-2	0	0	0	0	0	0	0	0
hsa-mir-1973	0	0	0	0	0	0	0	0
hsa-mir-1976	93	95	88	233	9	10	7	8
hsa-mir-198	0	0	0	0	0	0	0	0
hsa-mir-199a-1	210	236	298	288	2672	5310	5879	1193
hsa-mir-199a-2	267	334	436	410	4929	9117	11038	2389
hsa-mir-199b	230	274	343	368	6650	12430	14948	3217
hsa-mir-19a	0	0	0	0	108	47	75	69
hsa-mir-19b-1	2	1	3	1	276	111	132	171
hsa-mir-19b-2	0	1	1	0	213	89	117	126
hsa-mir-200a	749	929	1939	589	5225	2845	4176	2647
hsa-mir-200b	511	855	1851	1048	3604	2043	2690	2190
hsa-mir-200c	21594	26437	57492	43748	10261	9069	16221	10397
hsa-mir-202	0	0	0	0	1	1	0	0
hsa-mir-203a	611	857	1749	323	18048	32053	63739	46549
hsa-mir-203b	1	2	3	2	128	147	839	221
hsa-mir-204	6	11	10	13	25	8	4	10
hsa-mir-205	5	10	27	7	0	0	0	0
hsa-mir-2052	0	0	0	0	0	0	0	0
hsa-mir-2053	0	0	0	0	0	0	0	0
hsa-mir-2054	0	0	0	0	0	0	0	0
hsa-mir-206	0	0	0	0	0	0	0	0
hsa-mir-208a	0	0	0	0	0	0	0	0
hsa-mir-208b	0	0	0	0	0	0	0	0
hsa-mir-20a	16	11	22	7	1701	439	647	887
hsa-mir-20b	9	5	9	4	24	175	24	5
hsa-mir-21	2354	2845	4525	1155	426484	635086	656824	212529
hsa-mir-210	319	371	1018	329	2235	775	1655	567
hsa-mir-211	0	0	0	0	0	0	0	0
hsa-mir-2110	9	10	30	41	2	2	2	2
hsa-mir-2113	0	0	0	0	0	0	0	0
hsa-mir-2114	0	0	0	0	3	1	1	0
hsa-mir-2115	0	0	0	0	0	0	0	0
hsa-mir-2116	4	5	5	11	2	1	2	0
hsa-mir-2117	0	0	0	0	0	0	0	0
hsa-mir-212	6	5	5	8	2	22	6	4
hsa-mir-214	28	25	33	84	28	48	33	9
hsa-mir-215	25	9	11	227	210	1038	135	1333
hsa-mir-216a	0	0	0	0	8	5	5	0
hsa-mir-216b	0	0	1	0	1	3	1	0
hsa-mir-217	1	10	8	0	119	116	169	49
hsa-mir-218-1	4	0	2	6	18	48	33	6
hsa-mir-218-2	1	0	3	2	15	39	33	2
hsa-mir-219a-1	8	9	16	7	5	5	7	3
hsa-mir-219a-2	0	1	0	0	0	1	0	1
hsa-mir-219b	0	0	2	0	0	0	2	0
hsa-mir-22	8311	10507	17531	11814	105319	182942	180862	47423
hsa-mir-221	88	136	134	173	274	467	413	183
hsa-mir-222	36	58	92	86	203	278	247	96
hsa-mir-223	23	29	146	32	306	566	315	127
hsa-mir-224	7	10	38	24	129	190	255	108
hsa-mir-2276	0	2	0	0	0	0	0	0
hsa-mir-2277	1	0	5	4	0	1	1	0
hsa-mir-2278	0	0	0	0	1	0	1	0
hsa-mir-2355	0	2	3	3	61	124	177	47
hsa-mir-2392	0	0	0	0	0	0	0	0
hsa-mir-23a	1258	1358	1957	1671	6532	9783	8624	3822
hsa-mir-23b	1199	1207	1775	1222	5078	7321	5495	1503
hsa-mir-23c	0	0	1	2	0	0	1	2
hsa-mir-24-1	111	130	245	396	1660	1407	1595	475
hsa-mir-24-2	133	134	205	390	1595	1394	1605	460
hsa-mir-2467	0	0	0	0	0	0	0	0
hsa-mir-25	2398	3051	5590	3548	10482	9338	11278	8371
hsa-mir-2681	2	0	0	0	0	0	0	0
hsa-mir-2682	0	0	0	0	0	0	0	0
hsa-mir-26a-1	100	124	239	477	825	1494	1536	468
hsa-mir-26a-2	95	137	264	454	924	1445	1496	449
hsa-mir-26b	66	91	116	270	913	828	973	381
hsa-mir-27a	207	193	407	671	1725	2211	2193	800
hsa-mir-27b	406	344	676	1818	2017	2384	2122	580
hsa-mir-28	9543	7825	14624	9780	7672	20863	18199	4795
hsa-mir-2861	0	0	0	0	0	0	0	0
hsa-mir-2909	0	0	0	0	0	0	0	0
hsa-mir-296	20	15	18	41	1	4	0	5
hsa-mir-297	0	0	0	0	0	0	0	0
hsa-mir-298	0	0	0	0	0	0	0	0
hsa-mir-299	3	3	6	14	6	10	3	2
hsa-mir-29a	1846	2432	4995	9643	13484	19977	11642	6384
hsa-mir-29b-1	4	11	15	14	1396	1430	925	562
hsa-mir-29b-2	65	40	86	55	1239	1339	901	573
hsa-mir-29c	90	72	159	180	813	2822	1719	683
hsa-mir-300	0	0	0	0	0	0	0	0
hsa-mir-301a	1	0	0	0	27	22	34	20
hsa-mir-301b	1	0	0	0	2	2	5	1
hsa-mir-302a	0	0	0	0	0	0	0	0
hsa-mir-302b	0	0	0	0	0	0	0	0
hsa-mir-302c	0	0	0	0	0	0	0	0
hsa-mir-302d	0	0	0	0	0	0	0	0
hsa-mir-302e	0	0	0	0	0	0	0	0
hsa-mir-302f	0	0	0	0	0	0	0	0
hsa-mir-3064	0	0	0	0	0	0	0	0
hsa-mir-3065	4	2	7	5	38	11	13	9
hsa-mir-3074	18	12	41	71	4	4	27	7
hsa-mir-30a	3248	2437	4338	7605	15364	34040	36754	6457
hsa-mir-30b	19	15	67	96	309	359	405	153
hsa-mir-30c-1	141	124	397	336	264	362	452	166
hsa-mir-30c-2	179	176	436	447	243	392	452	155
hsa-mir-30d	6765	8681	13323	9124	10008	13219	8760	5845
hsa-mir-30e	1612	1588	3105	2576	14226	26640	24703	8482
hsa-mir-31	0	1	1	49	2	15	1	1
hsa-mir-3115	0	0	0	0	0	0	0	0
hsa-mir-3116-1	0	0	0	0	0	1	0	0
hsa-mir-3116-2	0	0	0	0	0	0	0	0
hsa-mir-3117	0	0	0	0	0	2	3	0
hsa-mir-3118-1	0	0	0	0	0	0	0	0
hsa-mir-3118-2	0	0	0	0	0	0	0	0
hsa-mir-3118-3	0	0	0	0	0	0	0	0
hsa-mir-3118-4	0	0	0	0	0	0	0	0
hsa-mir-3119-1	0	0	0	0	0	0	0	0
hsa-mir-3119-2	0	0	0	0	0	0	0	0
hsa-mir-3120	0	0	0	0	0	0	0	1
hsa-mir-3121	0	0	0	0	0	0	0	0
hsa-mir-3122	0	0	0	0	0	0	0	0
hsa-mir-3123	0	0	0	0	0	0	0	0
hsa-mir-3124	0	0	0	3	0	0	0	0
hsa-mir-3125	0	0	0	0	0	0	0	0
hsa-mir-3126	0	1	0	0	0	0	1	0
hsa-mir-3127	46	51	76	34	6	12	10	3
hsa-mir-3128	0	0	0	0	0	0	0	0
hsa-mir-3129	0	0	1	0	1	0	0	0
hsa-mir-3130-1	5	7	4	20	1	8	6	3
hsa-mir-3130-2	5	9	4	24	0	4	3	4
hsa-mir-3131	2	1	0	0	4	0	0	0
hsa-mir-3132	0	0	0	0	0	0	0	0
hsa-mir-3133	0	0	0	0	0	0	0	0
hsa-mir-3134	0	0	0	0	0	0	0	0
hsa-mir-3135a	0	0	0	0	0	0	0	0
hsa-mir-3135b	0	0	0	0	0	0	0	0
hsa-mir-3136	0	0	1	0	2	0	0	1
hsa-mir-3137	0	0	0	0	0	0	0	0
hsa-mir-3138	0	1	0	5	0	0	0	0
hsa-mir-3139	0	0	0	0	0	0	0	0
hsa-mir-3140	0	0	0	0	0	0	0	0
hsa-mir-3141	0	0	0	0	0	0	0	0
hsa-mir-3142	0	0	0	0	0	0	0	0
hsa-mir-3143	0	0	0	0	0	0	1	1
hsa-mir-3144	0	0	0	0	0	1	0	1
hsa-mir-3145	0	0	0	0	0	0	1	0
hsa-mir-3146	0	0	0	0	0	2	0	0
hsa-mir-3147	0	0	0	0	0	0	0	0
hsa-mir-3148	0	0	0	0	0	0	0	0
hsa-mir-3149	0	0	0	0	0	0	0	0
hsa-mir-3150a	0	0	0	0	0	0	0	0
hsa-mir-3150b	19	7	56	12	1	3	3	4
hsa-mir-3151	0	0	0	0	0	0	0	0
hsa-mir-3152	0	0	0	0	0	0	0	0
hsa-mir-3153	0	0	0	0	0	0	0	0
hsa-mir-3154	3	1	1	1	0	0	0	0
hsa-mir-3155a	1	0	0	3	0	2	0	1
hsa-mir-3155b	0	0	0	0	0	0	0	0
hsa-mir-3156-1	0	0	0	0	0	0	0	0
hsa-mir-3156-2	0	0	0	0	0	0	0	0
hsa-mir-3156-3	0	0	0	0	0	0	0	0
hsa-mir-3157	0	0	0	8	0	0	0	1
hsa-mir-3158-1	0	2	0	3	0	0	3	0
hsa-mir-3158-2	0	0	0	2	0	0	0	0
hsa-mir-3159	0	1	0	0	0	0	0	0
hsa-mir-3160-1	0	0	0	0	0	0	0	0
hsa-mir-3160-2	0	0	0	0	0	0	0	1
hsa-mir-3161	0	1	0	0	0	1	0	0
hsa-mir-3162	0	0	2	1	0	0	0	0
hsa-mir-3163	0	0	0	0	0	0	0	0
hsa-mir-3164	0	0	0	0	0	0	0	0
hsa-mir-3165	0	0	0	0	0	0	0	0
hsa-mir-3166	0	0	0	0	0	0	0	0
hsa-mir-3167	0	0	0	0	0	0	0	0
hsa-mir-3168	0	0	0	0	0	0	0	0
hsa-mir-3169	0	0	0	0	0	0	0	0
hsa-mir-3170	1	0	5	0	2	4	7	2
hsa-mir-3171	0	0	0	0	1	0	0	0
hsa-mir-3173	8	5	8	11	0	0	1	1
hsa-mir-3174	0	0	0	0	2	0	0	0
hsa-mir-3175	0	0	0	2	0	0	0	0
hsa-mir-3176	0	0	0	0	3	0	0	1
hsa-mir-3177	0	2	1	1	0	0	0	0
hsa-mir-3178	0	0	0	0	0	0	0	0
hsa-mir-3179-1	0	0	0	0	0	0	0	0
hsa-mir-3179-2	0	0	0	0	0	0	0	0
hsa-mir-3179-3	0	0	0	0	0	0	0	0
hsa-mir-3179-4	0	0	0	0	0	0	0	0
hsa-mir-3180-1	0	0	0	0	0	0	0	0
hsa-mir-3180-2	0	0	0	0	0	0	0	0
hsa-mir-3180-3	0	0	0	0	0	0	0	0
hsa-mir-3180-4	0	0	0	0	0	0	0	0
hsa-mir-3180-5	0	0	0	0	0	0	0	0
hsa-mir-3181	0	0	0	0	0	0	0	0
hsa-mir-3182	0	0	0	0	0	0	0	0
hsa-mir-3183	3	0	0	2	0	0	0	0
hsa-mir-3184	0	0	0	0	0	0	0	0
hsa-mir-3185	0	0	0	0	0	0	0	0
hsa-mir-3186	0	0	0	0	0	0	0	0
hsa-mir-3187	0	1	0	1	0	0	0	0
hsa-mir-3188	2	0	1	5	0	0	0	0
hsa-mir-3189	0	0	0	0	0	0	0	0
hsa-mir-3190	0	0	0	1	0	0	0	0
hsa-mir-3191	1	0	0	0	0	0	0	0
hsa-mir-3192	0	0	0	0	0	0	0	0
hsa-mir-3193	2	3	2	1	0	1	0	1
hsa-mir-3194	0	0	0	1	0	0	0	2
hsa-mir-3195	0	0	0	0	0	0	0	0
hsa-mir-3196	0	0	0	0	0	0	0	0
hsa-mir-3197	0	0	0	0	0	0	0	0
hsa-mir-3198-1	0	0	0	0	0	0	0	0
hsa-mir-3198-2	0	0	0	0	0	0	0	0
hsa-mir-3199-1	0	0	0	0	0	0	0	0
hsa-mir-3199-2	1	1	1	4	1	0	0	0
hsa-mir-32	0	5	4	7	55	37	37	42
hsa-mir-3200	9	3	5	18	2	2	3	1
hsa-mir-3201	0	0	0	0	0	0	0	0
hsa-mir-3202-1	0	0	0	0	0	0	0	0
hsa-mir-3202-2	0	0	0	0	0	0	0	0
hsa-mir-320a	727	726	1532	877	223	591	776	132
hsa-mir-320b-1	2	4	4	4	3	7	8	0
hsa-mir-320b-2	0	5	10	12	0	2	7	1
hsa-mir-320c-1	1	1	2	1	0	0	0	0
hsa-mir-320c-2	2	0	3	0	0	0	0	1
hsa-mir-320d-1	0	0	0	1	0	0	0	0
hsa-mir-320d-2	0	0	0	0	0	0	0	0
hsa-mir-320e	0	0	0	0	0	0	0	0
hsa-mir-323a	10	10	14	15	5	7	3	7
hsa-mir-323b	7	16	5	9	9	46	5	11
hsa-mir-324	109	103	170	196	57	48	40	26
hsa-mir-325	0	0	0	0	0	0	0	0
hsa-mir-326	13	2	16	126	5	5	6	0
hsa-mir-328	668	373	301	678	25	45	36	17
hsa-mir-329-1	0	1	0	0	0	0	0	0
hsa-mir-329-2	0	1	0	0	1	1	0	0
hsa-mir-330	35	31	32	51	21	22	42	16
hsa-mir-331	51	33	70	134	20	60	48	11
hsa-mir-335	3	5	14	5	533	194	256	329
hsa-mir-337	2	3	7	1	49	77	41	25
hsa-mir-338	49	46	77	277	887	747	870	1052
hsa-mir-339	79	58	164	252	105	57	33	22
hsa-mir-33a	1	7	7	6	41	37	31	35
hsa-mir-33b	0	0	2	0	11	12	9	8
hsa-mir-340	3	3	4	0	20	28	35	15
hsa-mir-342	121	150	373	263	151	437	199	50
hsa-mir-345	10	8	27	70	30	33	30	17
hsa-mir-346	1	2	5	3	0	0	0	0
hsa-mir-34a	12	7	21	37	143	101	138	41
hsa-mir-34b	0	0	0	0	7	3	1	0
hsa-mir-34c	3	2	4	5	7	5	7	2
hsa-mir-3529	0	0	0	0	0	0	0	0
hsa-mir-3591	0	0	0	0	0	0	0	0
hsa-mir-3605	23	11	8	32	11	11	13	4
hsa-mir-3606	0	0	0	0	0	0	0	0
hsa-mir-3607	7	9	38	105	105	221	199	113
hsa-mir-3609	3	0	1	5	2	0	0	0
hsa-mir-361	444	522	626	775	283	435	375	196
hsa-mir-3610	1	1	1	4	3	0	1	1
