miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT002091,ath-miR398c-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002092,ath-miR398b-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002093,ath-miR398c-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002094,ath-miR398b-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002095,ath-miR398a-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002095,ath-miR398a-3p,Arabidopsis thaliana,CSD2,817365,Arabidopsis thaliana,Microarray//qRT-PCR//Western blot,Functional MTI,20128885
MIRT002096,ath-miR398a-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Western blot,Functional MTI,18392778
MIRT002096,ath-miR398a-3p,Arabidopsis thaliana,CSD1,837405,Arabidopsis thaliana,Microarray//qRT-PCR//Western blot,Functional MTI,20128885
MIRT003017,ath-miR157a-5p,Arabidopsis thaliana,SPL3,817948,Arabidopsis thaliana,GFP reporter assay,Functional MTI,17217458
MIRT003018,ath-miR156a-5p,Arabidopsis thaliana,SPL3,817948,Arabidopsis thaliana,GFP reporter assay,Functional MTI,17217458
MIRT005636,ath-miR172b-3p,Arabidopsis thaliana,AP2,829845,Arabidopsis thaliana,In situ hybridization//Western blot,Functional MTI,12893888
MIRT054039,ath-miR156a-5p,Arabidopsis thaliana,SPL15,824961,Arabidopsis thaliana,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26841873
MIRT438731,ath-miR159a,Arabidopsis thaliana,MYB33,830497,Arabidopsis thaliana,Degradome sequencing//GUS reporter assay//qRT-PCR,Functional MTI,24626050
MIRT733524,ath-miR163,Arabidopsis thaliana,PXMT1,842988,Arabidopsis thaliana,Chromatin immunoprecipitation//Cleaved amplified polymorphic sequences//qRT-PCR//Western blot,Functional MTI,28167951
MIRT733525,ath-miR163,Arabidopsis thaliana,FAMT,823620,Arabidopsis thaliana,Chromatin immunoprecipitation//Cleaved amplified polymorphic sequences//qRT-PCR//Western blot,Functional MTI,28167951
MIRT437899,bmo-miR-281-3p,Bombyx mori,EcR,692756,Bombyx mori,Luciferase reporter assay,Functional MTI,23707601
MIRT003552,bmo-miR-7-5p,Bombyx mori,Fib-l,693047,Bombyx mori,GUS reporter assay,Functional MTI,18977439
MIRT003553,bmo-miR-33-5p,Bombyx mori,Fib-l,693047,Bombyx mori,GUS reporter assay,Functional MTI,18977439
MIRT735164,bmo-miR-2a-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT735165,bmo-miR-2b-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT735167,bmo-miR-13a-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT735168,bmo-miR-13b-3p,Bombyx mori,Fng,100144549,Bombyx mori,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26037405
MIRT733027,bmo-miR-278-3p,Bombyx mori,IBP2,100846979,Bombyx mori,Luciferase reporter assay//qRT-PCR,Functional MTI,26348138
MIRT007159,bta-miR-17-5p,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007160,bta-miR-20b,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007161,bta-miR-93,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007161,bta-miR-93,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23221399
MIRT053091,bta-miR-27b,Bos taurus,MSTN,281187,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23510267
MIRT054326,bta-miR-15a,Bos taurus,GHR,280805,Bos taurus,qRT-PCR//Western blot,Non-Functional MTI,23085654
MIRT054358,bta-miR-155,Bos taurus,DET1,541005,Bos taurus,Flow cytometry//Immunofluorescence//Immunoprecipitation//Luciferase reporter assay//Microarray//QRTPCR//Western blot,Functional MTI,23637592
MIRT054377,bta-miR-154a,Bos taurus,TNP2,281538,Bos taurus,Luciferase reporter assay//qRT-PCR,Functional MTI,24416221
MIRT054378,bta-miR-223,Bos taurus,HMGB1,282691,Bos taurus,Luciferase reporter assay,Functional MTI,22875364
MIRT732346,bta-miR-1,Bos taurus,HDAC4,517559,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26424132
MIRT732347,bta-miR-206,Bos taurus,HDAC4,517559,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26424132
MIRT732348,bta-miR-1,Bos taurus,LOC536229,536229,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26424132
MIRT733134,bta-miR-23a,Bos taurus,ZNF423,508025,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28255176
MIRT733160,bta-miR-26b,Bos taurus,PTEN,540786,Bos taurus,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26503952
MIRT734560,bta-miR-206,Bos taurus,LOC536229,536229,Bos taurus,Luciferase reporter assay,Functional MTI,26424132
MIRT734935,bta-miR-29a,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734936,bta-miR-29b,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734937,bta-miR-29c,Bos taurus,DNMT3A,359716,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734939,bta-miR-29a,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734940,bta-miR-29b,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT734941,bta-miR-29c,Bos taurus,DNMT3B,353354,Bos taurus,Luciferase reporter assay,Functional MTI,25656908
MIRT735254,bta-miR-26a,Bos taurus,PCK1,282855,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26725319
MIRT735507,bta-miR-128,Bos taurus,SP1,540741,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26833195
MIRT735528,bta-miR-378,Bos taurus,INCENP,507693,Bos taurus,Luciferase reporter assay,Functional MTI,27669152
MIRT001143,cel-lsy-6-3p,Caenorhabditis elegans,T04C9.2,188054,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001144,cel-lsy-6-3p,Caenorhabditis elegans,C27H6.3,179389,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001145,cel-lsy-6-3p,Caenorhabditis elegans,T05C12.8,188124,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001146,cel-lsy-6-3p,Caenorhabditis elegans,T23E1.1,188794,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001148,cel-lsy-6-3p,Caenorhabditis elegans,glb-1,176261,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001149,cel-lsy-6-3p,Caenorhabditis elegans,fkh-8,174026,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001151,cel-lsy-6-3p,Caenorhabditis elegans,acl-5,181241,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001153,cel-lsy-6-3p,Caenorhabditis elegans,aex-4,188509,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001154,cel-lsy-6-3p,Caenorhabditis elegans,hlh-8,181069,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT001155,cel-lsy-6-3p,Caenorhabditis elegans,cog-1,175149,Caenorhabditis elegans,Reporter assay,Functional MTI,18463285
MIRT001155,cel-lsy-6-3p,Caenorhabditis elegans,cog-1,175149,Caenorhabditis elegans,GFP reporter assay,Functional MTI,16921378
MIRT001155,cel-lsy-6-3p,Caenorhabditis elegans,cog-1,175149,Caenorhabditis elegans,Reporter assay,Functional MTI,14685240
MIRT001906,cel-miR-84-5p,Caenorhabditis elegans,let-60,178104,Caenorhabditis elegans,GFP reporter assay,Functional MTI,15766527
MIRT001907,cel-lin-4-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,Immunofluorescence//LacZ reporter assay,Functional MTI,8252622
MIRT001907,cel-lin-4-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,qRT-PCR//Western blot//Northern blot,Functional MTI,19155321
MIRT001907,cel-lin-4-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,Next Generation Sequencing (NGS)//Western blot,Functional MTI,22855835
MIRT001908,cel-let-7-5p,Caenorhabditis elegans,pha-4,180357,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15737928
MIRT001909,cel-let-7-5p,Caenorhabditis elegans,daf-12,181263,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15737928
MIRT001910,cel-let-7-5p,Caenorhabditis elegans,die-1,174569,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15737928
MIRT001912,cel-let-7-5p,Caenorhabditis elegans,lin-14,181337,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,10706289
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,GFP reporter assay//Reporter assay;Other,Functional MTI,10706289
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,LacZ reporter assay,Functional MTI,14729570
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay,Functional MTI,10882102
MIRT002267,cel-let-7-5p,Caenorhabditis elegans,lin-41,172760,Caenorhabditis elegans,GFP reporter assay,Functional MTI,23599497
MIRT002268,cel-lin-4-5p,Caenorhabditis elegans,lin-28,172626,Caenorhabditis elegans,GFP reporter assay,Functional MTI,9258777
MIRT002268,cel-lin-4-5p,Caenorhabditis elegans,lin-28,172626,Caenorhabditis elegans,GFP reporter assay,Functional MTI,9054503
MIRT002268,cel-lin-4-5p,Caenorhabditis elegans,lin-28,172626,Caenorhabditis elegans,Next Generation Sequencing (NGS)//Western blot,Functional MTI,22855835
MIRT002273,cel-miR-1-3p,Caenorhabditis elegans,mef-2,172732,Caenorhabditis elegans,GFP reporter assay,Functional MTI,26669440
MIRT002274,cel-miR-1-3p,Caenorhabditis elegans,unc-63,172150,Caenorhabditis elegans,GFP reporter assay//Immunoblot//Immunofluorescence,Functional MTI,18510933
MIRT002275,cel-miR-1-3p,Caenorhabditis elegans,unc-29,172703,Caenorhabditis elegans,GFP reporter assay//Immunoblot//Immunofluorescence,Functional MTI,18510933
MIRT002828,cel-lin-4-5p,Caenorhabditis elegans,hbl-1,180848,Caenorhabditis elegans,GFP reporter assay,Functional MTI,12737800
MIRT002829,cel-let-7-5p,Caenorhabditis elegans,hbl-1,180848,Caenorhabditis elegans,GFP reporter assay,Functional MTI,12737800
MIRT002829,cel-let-7-5p,Caenorhabditis elegans,hbl-1,180848,Caenorhabditis elegans,GFP reporter assay//Immunocytochemistry,Functional MTI,12737799
MIRT002829,cel-let-7-5p,Caenorhabditis elegans,hbl-1,180848,Caenorhabditis elegans,GFP reporter assay,Functional MTI,19342589
MIRT002871,cel-let-7-5p,Caenorhabditis elegans,let-60,178104,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay//Reporter assay;Other,Functional MTI,15766527
MIRT004781,cel-miR-61-3p,Caenorhabditis elegans,vav-1,181153,Caenorhabditis elegans,GFP reporter assay//YFP reporter assay//Reporter assay;Other,Functional MTI,16239437
MIRT005019,cel-miR-1-3p,Caenorhabditis elegans,unc-38,172105,Caenorhabditis elegans,GFP reporter assay//Immunoblot//Immunofluorescence,Non-Functional MTI,18510933
MIRT005291,cel-let-7-5p,Caenorhabditis elegans,let-526,3565337,Caenorhabditis elegans,GFP reporter assay//LacZ reporter assay,Functional MTI,15737928
MIRT005642,cel-miR-273,Caenorhabditis elegans,die-1,174569,Caenorhabditis elegans,GFP reporter assay//Reporter assay;Other,Functional MTI,15306811
MIRT005758,cel-miR-57-5p,Caenorhabditis elegans,nob-1,176641,Caenorhabditis elegans,GFP reporter assay//In situ hybridization//Northern blot//qRT-PCR,Functional MTI,20824072
MIRT005994,cel-lsy-6-3p,Caenorhabditis elegans,T20G5.9,188661,Caenorhabditis elegans,GFP reporter assay,Non-Functional MTI,16921378
MIRT006491,cel-miR-35-3p,Caenorhabditis elegans,lin-23,174058,Caenorhabditis elegans,Luciferase reporter assay//qRT-PCR,Functional MTI,21691303
MIRT006492,cel-miR-35-3p,Caenorhabditis elegans,gld-1,172532,Caenorhabditis elegans,Luciferase reporter assay//qRT-PCR,Functional MTI,21691303
MIRT006634,cel-miR-71-5p,Caenorhabditis elegans,age-1,174762,Caenorhabditis elegans,GFP reporter assay//qRT-PCR,Functional MTI,22011579
MIRT006635,cel-miR-71-5p,Caenorhabditis elegans,hbl-1,180848,Caenorhabditis elegans,GFP reporter assay,Functional MTI,22011579
MIRT006636,cel-miR-71-5p,Caenorhabditis elegans,lin-42,173503,Caenorhabditis elegans,GFP reporter assay,Functional MTI,22011579
MIRT438375,cel-miR-79-3p,Caenorhabditis elegans,sqv-7,174145,Caenorhabditis elegans,GFP reporter assay,Functional MTI,24052309
MIRT438376,cel-miR-79-3p,Caenorhabditis elegans,sqv-5,172851,Caenorhabditis elegans,GFP reporter assay,Functional MTI,24052309
MIRT731624,cel-let-7-5p,Caenorhabditis elegans,ncl-1,176084,Caenorhabditis elegans,GFP reporter assay//Immunoblot//qRT-PCR//Western blot,Functional MTI,26492166
MIRT734451,cel-miR-80-3p,Caenorhabditis elegans,C30B5.7,183043,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734452,cel-miR-58a-3p,Caenorhabditis elegans,C30B5.7,183043,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734453,cel-miR-58a-3p,Caenorhabditis elegans,C37H5.13,178878,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734454,cel-miR-80-3p,Caenorhabditis elegans,C37H5.13,178878,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734455,cel-miR-80-3p,Caenorhabditis elegans,cgh-1,176061,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734456,cel-miR-58a-3p,Caenorhabditis elegans,cgh-1,176061,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734457,cel-miR-58a-3p,Caenorhabditis elegans,isw-1,175944,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734458,cel-miR-80-3p,Caenorhabditis elegans,isw-1,175944,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734461,cel-miR-58a-3p,Caenorhabditis elegans,nas-3,187045,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT734462,cel-miR-80-3p,Caenorhabditis elegans,nas-3,187045,Caenorhabditis elegans,Luciferase reporter assay//Mass spectrometry//pSILAC//qRT-PCR//Western blot,Functional MTI,26232411
MIRT732206,cfa-miR-421,Canis familiaris,SIRT3,23410,Canis familiaris,Luciferase reporter assay,Functional MTI,27107702
MIRT438488,cfa-miR-208b,Canis familiaris,MSTN,403433,Canis familiaris,Microarray//Western blot,Functional MTI,24160322
MIRT438489,cfa-miR-539,Canis familiaris,MSTN,403433,Canis familiaris,Microarray//Western blot,Functional MTI,24160322
MIRT732006,cgr-miR-30a-5p,Cricetulus griseus,Skp2,27401,Cricetulus griseus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26256096
MIRT733804,cgr-miR-29b-3p,Cricetulus griseus,Dicer1,100689239,Cricetulus griseus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28137615
MIRT000004,dme-miR-8-3p,Drosophila melanogaster,ush,33225,Drosophila melanogaster,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20005803
MIRT000429,dme-miR-137-3p,Drosophila melanogaster,mei-P26,45775,Drosophila melanogaster,GFP reporter assay//Luciferase reporter assay,Functional MTI,20400939
MIRT001859,dme-miR-9a-5p,Drosophila melanogaster,sens,45328,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,17015424
MIRT001860,dme-miR-92b-3p,Drosophila melanogaster,CrebA,39682,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15943864
MIRT001861,dme-miR-79-3p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,GFP reporter assay,Functional MTI,15833912
MIRT001861,dme-miR-79-3p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT001863,dme-miR-79-3p,Drosophila melanogaster,bap,42537,Drosophila melanogaster,GFP reporter assay,Functional MTI,15723116
MIRT001865,dme-miR-7-5p,Drosophila melanogaster,fng,40314,Drosophila melanogaster,Luciferase reporter assay//Reporter assay;Other,Functional MTI,15738385
MIRT001866,dme-miR-7-5p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,GFP reporter assay//Reporter assay;Other,Functional MTI,15833912
MIRT001866,dme-miR-7-5p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT001866,dme-miR-7-5p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,Luciferase reporter assay//Reporter assay,Functional MTI,15738385
MIRT001867,dme-miR-7-5p,Drosophila melanogaster,E(spl)mdelta-HLH,43150,Drosophila melanogaster,GFP reporter assay//Reporter assay;Other,Functional MTI,15833912
MIRT001867,dme-miR-7-5p,Drosophila melanogaster,E(spl)mdelta-HLH,43150,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT001868,dme-miR-6-3p,Drosophila melanogaster,rpr,40015,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT001870,dme-miR-4-3p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,GFP reporter assay,Functional MTI,15833912
MIRT001870,dme-miR-4-3p,Drosophila melanogaster,E(spl)m5-HLH,43158,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT001871,dme-miR-4-3p,Drosophila melanogaster,E(spl)mdelta-HLH,43150,Drosophila melanogaster,GFP reporter assay,Functional MTI,15833912
MIRT001871,dme-miR-4-3p,Drosophila melanogaster,E(spl)mdelta-HLH,43150,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT001873,dme-miR-4-3p,Drosophila melanogaster,bap,42537,Drosophila melanogaster,GFP reporter assay,Functional MTI,15723116
MIRT001874,dme-miR-34-5p,Drosophila melanogaster,Su(z)12,48071,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15738385
MIRT001875,dme-miR-34-5p,Drosophila melanogaster,Eip74EF,39962,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15943864
MIRT001876,dme-miR-318-3p,Drosophila melanogaster,CG13380,40029,Drosophila melanogaster,Luciferase reporter assay,Non-Functional MTI,15738385
MIRT001877,dme-miR-317-3p,Drosophila melanogaster,yellow-c,34879,Drosophila melanogaster,Luciferase reporter assay,Non-Functional MTI,15738385
MIRT001879,dme-miR-312-3p,Drosophila melanogaster,CrebA,39682,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15943864
MIRT001881,dme-miR-308-3p,Drosophila melanogaster,grim,40014,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT001886,dme-miR-287-3p,Drosophila melanogaster,CRMP,40675,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15738385
MIRT001887,dme-miR-287-3p,Drosophila melanogaster,Dip1,53580,Drosophila melanogaster,Luciferase reporter assay,Non-Functional MTI,15738385
MIRT001888,dme-miR-286-3p,Drosophila melanogaster,boss,43146,Drosophila melanogaster,Luciferase reporter assay,Non-Functional MTI,15738385
MIRT001889,dme-miR-279-3p,Drosophila melanogaster,SP555,53471,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15738385
MIRT001891,dme-miR-278-3p,Drosophila melanogaster,tup,35147,Drosophila melanogaster,Luciferase reporter assay,Non-Functional MTI,15738385
MIRT001893,dme-miR-13b-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT001896,dme-miR-124-3p,Drosophila melanogaster,gli,251204,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15738385
MIRT001897,dme-miR-12-5p,Drosophila melanogaster,rt,39297,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15738385
MIRT001898,dme-miR-11-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay,Non-Functional MTI,15723116
MIRT001898,dme-miR-11-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT001899,dme-miR-11-3p,Drosophila melanogaster,grim,40014,Drosophila melanogaster,GFP reporter assay,Non-Functional MTI,15723116
MIRT001899,dme-miR-11-3p,Drosophila melanogaster,grim,40014,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT001900,dme-miR-11-3p,Drosophila melanogaster,E(spl)mdelta-HLH,43150,Drosophila melanogaster,GFP reporter assay,Functional MTI,15833912
MIRT001900,dme-miR-11-3p,Drosophila melanogaster,E(spl)mdelta-HLH,43150,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT001902,dme-miR-1-3p,Drosophila melanogaster,tutl,46015,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15738385
MIRT001903,dme-let-7-5p,Drosophila melanogaster,ab,34560,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15943864
MIRT001976,dme-miR-8-3p,Drosophila melanogaster,CG32767,31430,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,18824696
MIRT001978,dme-miR-8-3p,Drosophila melanogaster,wls,39259,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,18824696
MIRT001978,dme-miR-8-3p,Drosophila melanogaster,wls,39259,Drosophila melanogaster,Luciferase reporter assay//Western blot,Functional MTI,20216554
MIRT002003,dme-miR-315-5p,Drosophila melanogaster,Notum,39751,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,17989227
MIRT002281,dme-miR-283-5p,Drosophila melanogaster,smo,33196,Drosophila melanogaster,GFP reporter assay,Functional MTI,18493062
MIRT002282,dme-miR-12-5p,Drosophila melanogaster,fu,32855,Drosophila melanogaster,GFP reporter assay,Functional MTI,18493062
MIRT002284,dme-miR-12-5p,Drosophila melanogaster,smo,33196,Drosophila melanogaster,GFP reporter assay,Functional MTI,18493062
MIRT002356,dme-miR-14-3p,Drosophila melanogaster,EcR,35540,Drosophila melanogaster,Western blot//Luciferase reporter assay,Functional MTI,17761811
MIRT002439,dme-miR-iab-4-5p,Drosophila melanogaster,Ubx,42034,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Reporter assay,Functional MTI,16357215
MIRT002439,dme-miR-iab-4-5p,Drosophila melanogaster,Ubx,42034,Drosophila melanogaster,GFP reporter assay,Functional MTI,18172163
MIRT002440,dme-miR-iab-8-5p,Drosophila melanogaster,Ubx,42034,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,18172160
MIRT002440,dme-miR-iab-8-5p,Drosophila melanogaster,Ubx,42034,Drosophila melanogaster,GFP reporter assay,Functional MTI,18172163
MIRT002441,dme-miR-iab-8-5p,Drosophila melanogaster,abd-A,42037,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,18172160
MIRT002441,dme-miR-iab-8-5p,Drosophila melanogaster,abd-A,42037,Drosophila melanogaster,GFP reporter assay,Functional MTI,18172163
MIRT002844,dme-miR-4-3p,Drosophila melanogaster,brd,247926,Drosophila melanogaster,GFP reporter assay,Functional MTI,15833912
MIRT002844,dme-miR-4-3p,Drosophila melanogaster,brd,247926,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT002849,dme-miR-4-3p,Drosophila melanogaster,Tom,39619,Drosophila melanogaster,GFP reporter assay,Functional MTI,15833912
MIRT002849,dme-miR-4-3p,Drosophila melanogaster,Tom,39619,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT002852,dme-miR-7-5p,Drosophila melanogaster,Tom,39619,Drosophila melanogaster,GFP reporter assay//Reporter assay;Other,Functional MTI,15833912
MIRT002852,dme-miR-7-5p,Drosophila melanogaster,Tom,39619,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT002854,dme-miR-7-5p,Drosophila melanogaster,brd,247926,Drosophila melanogaster,GFP reporter assay//Reporter assay;Other,Functional MTI,15833912
MIRT002854,dme-miR-7-5p,Drosophila melanogaster,brd,247926,Drosophila melanogaster,Reporter assay,Functional MTI,16330759
MIRT002857,dme-miR-6-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay,Functional MTI,15723116
MIRT002857,dme-miR-6-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT002858,dme-miR-2b-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay,Functional MTI,15723116
MIRT002858,dme-miR-2b-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT002859,dme-miR-2b-3p,Drosophila melanogaster,grim,40014,Drosophila melanogaster,GFP reporter assay,Functional MTI,15723116
MIRT002861,dme-miR-308-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot,Functional MTI,15989958
MIRT002862,dme-miR-312-3p,Drosophila melanogaster,ttk,48317,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15943864
MIRT002863,dme-miR-92b-3p,Drosophila melanogaster,ttk,48317,Drosophila melanogaster,Luciferase reporter assay,Functional MTI,15943864
MIRT002864,dme-miR-2a-3p,Drosophila melanogaster,skl,40016,Drosophila melanogaster,GFP reporter assay,Functional MTI,14691535
MIRT002865,dme-miR-7-5p,Drosophila melanogaster,E(spl)m3-HLH,43156,Drosophila melanogaster,GFP reporter assay//Reporter assay;Other,Functional MTI,14691535
