"Cluster","GO Term","GO Name","FDR","Enrichment Score","SSX","SSY","Genes..."
"0","GO:0019395","fatty acid oxidation","3.730546e-7","3.522107999999995","-0.366","0.594","ALDH3A2 ABCD3 PPARGC1A ACAA1 ACADVL ACAT1 ACOX1 ECHS1 ETFDH HADH HIBCH SLC27A2 ACAA2 BDH2 CPT2 DECR1 PECR CYP4V2 ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 SCP2"
"0","GO:0000469","cleavage involved in rRNA processing","0.03814615","3.522107999999995","-0.083","0.707","EXOSC2 RRS1 EXOSC3 EXOSC7 EXOSC8 RPS21 NHP2"
"0","GO:0034440","lipid oxidation","4.817836e-7","3.4679219999999993","-0.308","0.541","ALDH3A2 ABCD3 PPARGC1A ACAA1 ACADVL ACAT1 ACOX1 ECHS1 ETFDH HADH HIBCH SLC27A2 ACAA2 BDH2 CPT2 DECR1 PECR CYP4V2 ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 SCP2"
"0","GO:0022616","DNA strand elongation","0.02090802","3.2933990000000093","-0.159","0.654","RFC4 PCNA POLA1 RFC3 GINS2 GINS4 RNASEH2A RNASEH1 POLD2"
"0","GO:0001707","mesoderm formation","0.008257239","3.2798460000000094","-0.586","-0.434","HOXA11 EYA2 KLF4 SNAI1 ITGA2 BMP4 LEF1 TBX20 ITGA8 SIX2 SCX"
"0","GO:0072337","modified amino acid transport","0.03683187","3.220213000000011","-0.201","-0.715","ABCC1 SLC25A32 SLC9A3R1 SLC6A8 SLC22A5 SLC22A4 SLC5A6 SLC1A4"
"0","GO:0048332","mesoderm morphogenesis","0.01044218","3.1627089999999884","-0.486","-0.434","HOXA11 EYA2 KLF4 SNAI1 ITGA2 BMP4 LEF1 TBX20 ITGA8 SIX2 SCX"
"0","GO:0009062","fatty acid catabolic process","0.000003016757","3.0068249999999876","-0.387","0.619","ALDH3A2 PCK1 ABCD3 ACAA1 ACADVL ACAT1 ACOX1 ECHS1 CYP4F12 ETFDH HADH HIBCH SCP2 LPIN1 PCCA SLC27A2 ACAA2 BDH2 CPT2 DECR1 PECR ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 MMAA"
"0","GO:0055078","sodium ion homeostasis","0.04266047","2.89819200000001","0.099","-0.664","SCNN1B CYP4F12 ATP1A1 ATP1B1 ATP1B3 NEDD4L SLC9A1 SLC12A2 TMPRSS3"
"0","GO:0071985","multivesicular body sorting pathway","0.03091669","2.8751900000000035","-0.22","-0.696","SORT1 VTA1 CHMP3 RAB27B CHMP2B LEPROT LEPROTL1 RAB27A VPS4B CHMP1B"
"0","GO:0006099","tricarboxylic acid cycle","0.02797939","2.76737","-0.397","0.593","MDH1 IDH2 SDHD SUCLG2 ACO2 IDH3A OGDHL SUCLG1 SDHB SDHC ME2"
"0","GO:0044786","cell cycle DNA replication","0.01370302","2.7541290000000127","-0.059","0.703","CDC45 RFC4 ACD CDT1 RFC2 RFC3 RTEL1 ZPR1 BRCA2 POLD2 POLD4 POLA1 PCNA"
"0","GO:0043392","negative regulation of DNA binding","0.009704289","2.748962000000006","0.15","-0.629","E2F1 NFKBIA LEF1 ID2 CPNE1 MAD2L2 TFAP4 PSEN1 KDM1A GZMA ID3 MDFI ZNF593 MSX2"
"0","GO:0006101","citrate metabolic process","0.03338706","2.6835109999999998","-0.408","0.526","MDH1 IDH2 SDHD SUCLG2 ACO2 IDH3A OGDHL SUCLG1 SDHB SDHC ME2"
"0","GO:0000281","mitotic cytokinesis","0.00165744","2.6395190000000013","-0.631","0.275","CENPA ECT2 KIF23 KIF4A RACGAP1 PDCD6IP RHOC VPS4B CHMP3 CHMP2B CHMP1B ANK3 BRCA2 ANLN KIF20A CKAP2 TRIM36 CDT1 PLK1 APC"
"0","GO:0003170","heart valve development","0.01014609","2.625173000000001","-0.596","-0.351","TNFRSF1A ROBO2 TBX20 STRA6 ELN TWIST1 NOS3 HEYL ADAMTS9 SCX BMP2 BMP4 SOX4 SNAI1 SOX9"
"0","GO:0007080","mitotic metaphase plate congression","0.01475142","2.621103","-0.444","-0.62","CDCA5 KIF14 KIF18A KIF2C CCNB1 PSRC1 KIFC1 NUF2 RRS1 VPS4B CHMP2B CHMP1B BOD1 CDT1"
"0","GO:0033260","nuclear DNA replication","0.02929454","2.610983000000001","-0.054","0.71","CDC45 ACD CDT1 PCNA POLA1 RFC2 RFC3 RTEL1 BRCA2 POLD2 POLD4 RFC4"
"0","GO:0031016","pancreas development","0.03924142","2.6045839999999996","-0.559","-0.341","MET IL6R PROX1 ISL1 BMP4 NEUROD1 INSM1 TCF7L2 PDX1 RFX6 PTF1A"
"0","GO:0032963","collagen metabolic process","0.006234971","2.5822459999999996","-0.237","0.303","COL1A1 COL5A1 MMP9 MMP1 MMP11 MMP12 MMP3 MMP14 MMP10 PLOD3 KLK6 P3H1 MMP7 PHYKPL MMP8 RCN3 PLOD2"
"0","GO:0003179","heart valve morphogenesis","0.01785375","2.5615329999999994","-0.62","-0.341","ROBO2 SOX9 SOX4 BMP4 TBX20 BMP2 STRA6 ELN TWIST1 NOS3 HEYL ADAMTS9 SCX SNAI1"
"0","GO:0072329","monocarboxylic acid catabolic process","0.0000576177","2.5506640000000003","-0.418","0.565","ALDH3A2 PCK1 ABCD3 ACAA1 ACADVL ACAT1 ACOX1 ECHS1 CYP4F12 ETFDH HADH HIBCH PCCA SLC27A2 ACAA2 BDH2 CPT2 DECR1 HOGA1 PECR ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 MMAA SCP2 LPIN1"
"0","GO:0001649","osteoblast differentiation","0.0007394099","2.5422729999999993","-0.527","-0.058","FIGNL1 SPP1 TPM4 CCL3 FBL LRP5L SEMA7A CLEC5A RRAS2 GTPBP4 PSMC2 DDX21 LGR4 BMP2 LEF1 BMP4 SND1 CYP24A1 ITGA11 FASN VCAN MSX2 SNAI1 CCDC47"
"0","GO:0001763","morphogenesis of a branching structure","0.007732646","2.534426999999999","-0.482","-0.345","HOXA11 COL4A1 MET CTNNB1 MYC TDGF1 SOX9 FGFR2 BMP2 LRP5L PAK1 TCF21 NOTCH4 BMP4 LEF1 WT1 EPHA7"
"0","GO:1905314","semi-lunar valve development","0.04739029","2.530166999999999","-0.603","-0.36","TNFRSF1A ROBO2 SOX9 ELN SNAI1 STRA6 BMP4 TBX20 TWIST1 NOS3 HEYL"
"0","GO:0072089","stem cell proliferation","0.04739029","2.530166999999999","-0.164","-0.62","ABCB1 RACGAP1 RNF43 ZNRF3 FGFR2 RUNX1 LEF1 SIX2 WNT5A WNT7B NUMB"
"0","GO:0001837","epithelial to mesenchymal transition","0.01273707","2.477087000000001","-0.623","-0.148","LOXL2 LOXL3 PDCD4 TCOF1 HGF FAM83D LEF1 NOLC1 WNT5A DLG5 HEYL BMP2 CTNNB1 BMP7 SOX9 SNAI1"
"0","GO:0061138","morphogenesis of a branching epithelium","0.01821297","2.4644479999999995","-0.655","-0.244","HOXA11 COL4A1 MET CTNNB1 MYC SOX9 FGFR2 BMP4 LEF1 BMP2 WT1 LRP5L PAK1 TCF21 NOTCH4"
"0","GO:0001704","formation of primary germ layer","0.004556077","2.4395550000000004","-0.631","-0.273","COL12A1 COL4A2 COL7A1 HOXA11 INHBA MMP9 EYA2 FN1 MMP14 COL8A1 MMP8 KLF4 SNAI1 ITGA2 BMP4 LEF1 TBX20 ITGA8 SIX2 SCX"
"0","GO:0051310","metaphase plate congression","0.0215026","2.41516","-0.404","-0.588","CDCA5 KIF14 KIF18A KIF2C CDT1 CCNB1 PSRC1 KIFC1 NUF2 FAM83D RRS1 VPS4B CHMP2B CHMP1B BOD1"
"0","GO:0048754","branching morphogenesis of an epithelial tube","0.02979044","2.3980310000000005","-0.684","-0.262","HOXA11 COL4A1 MET CTNNB1 MYC FGFR2 BMP2 LRP5L BMP4 LEF1 WT1 PAK1 TCF21 NOTCH4"
"0","GO:0071260","cellular response to mechanical stimulus","0.03442904","2.3480719999999997","-0.56","0.363","FAS BAK1 CRADD MAP2K4 TNFRSF1A IRF1 TNFRSF10A BAD SOX9 SLC9A1 PTGER4 CNN2 PIEZO1 TLR3"
"0","GO:0034308","primary alcohol metabolic process","0.02955677","2.3222689999999986","-0.435","0.501","ADH1C ALDH1B1 ALDH2 ALDH3A2 RETSAT RBP4 AKR1C2 ALDH1A1 SULT1A2 AKR1B10 SULT1A1 GDE1 SULT1B1 PECR GDPD1"
"0","GO:0051101","regulation of DNA binding","0.00125014","2.312387","0.088","-0.529","MMP9 CDCA5 E2F1 HJURP ACD CDT1 NME1 NEUROD1 CPNE1 MAD2L2 TWIST1 TFAP4 PSEN1 KDM1A GZMA CSNK2B ID2 ID3 LEF1 HDAC8 MDFI ZNF593 NFKBIA MSX2 CTNNB1 PLAUR MMP8"
"0","GO:0060173","limb development","0.008908931","2.300152","-0.536","-0.275","GREM1 HOXA11 ACD CTNNB1 KREMEN2 ZNRF3 DKK1 TFAP2A TWIST1 WNT7A MSX1 SCX RSPO2 KAT2A ECE1 FGFR2 SOX4 BMP4 LEF1 PCSK5"
"0","GO:0048736","appendage development","0.008908931","2.300152","-0.51","-0.304","GREM1 HOXA11 ACD CTNNB1 KREMEN2 ZNRF3 DKK1 TFAP2A TWIST1 WNT7A MSX1 SCX RSPO2 KAT2A ECE1 PCSK5 FGFR2 SOX4 BMP4 LEF1"
"0","GO:0001503","ossification","0.0001852277","2.290802","-0.333","-0.445","MINPP1 COL1A1 CLEC3B EXT1 FIGNL1 SPP1 TPM4 CLEC11A TWIST1 LRP5L SEMA7A FBL CLEC5A PLXNB1 RRAS2 SCX GTPBP4 PSMC2 DDX21 LGR4 BMP2 LEF1 BMP4 SND1 CYP24A1 ITGA11 FASN VCAN MSX2 IFITM5 CCL3 CCDC47 FGFR2 SNAI1 CDH11"
"0","GO:0048762","mesenchymal cell differentiation","0.0007292753","2.278452","-0.612","-0.15","LOXL2 FN1 LOXL3 CORO1C TAPT1 PDCD4 TCOF1 CTNNB1 HGF BMP7 SEMA6A SOX9 FGFR2 ISL1 FAM83D PHOX2B TCF21 NOLC1 SEMA7A WNT5A SEMA3F SEMA4G SEMA5B DLG5 HEYL SEMA4C BMP2 SIX2 LEF1 SNAI1"
"0","GO:1903825","organic acid transmembrane transport","0.01014609","2.267754999999999","-0.187","-0.73","SLC16A1 SLC25A32 SLC1A1 STRA6 MID1IP1 SLC7A5 CPT2 ACACB SLC6A8 CPT1A SLC1A3 SLC5A6 SLC25A14 SLC36A1 SLC38A5 SLC7A1 LRRC8E LRRC8D SLC25A20 MPC2"
"0","GO:1905039","carboxylic acid transmembrane transport","0.01014609","2.267754999999999","-0.126","-0.781","SLC16A1 SLC1A1 STRA6 MID1IP1 SLC7A5 CPT2 ACACB SLC6A8 CPT1A SLC1A3 SLC5A6 SLC25A14 SLC36A1 SLC38A5 SLC7A1 LRRC8E LRRC8D SLC25A20 MPC2 SLC25A32"
"0","GO:0051303","establishment of chromosome localization","0.02891064","2.2597979999999995","-0.159","-0.742","CDCA5 KIF14 KIF18A KIF2C NDE1 CDT1 CCNB1 PSRC1 KIFC1 NUF2 FAM83D RRS1 VPS4B CHMP2B CHMP1B BOD1"
"0","GO:0007498","mesoderm development","0.03818418","2.236259","-0.432","-0.362","HOXA11 EYA2 ITGA2 KLF4 SNAI1 BMP4 LEF1 TBX20 ITGA8 SIX2 CITED2 FOXC2 IKZF3 SCX BMX"
"0","GO:0050000","chromosome localization","0.03257119","2.2208359999999994","-0.143","-0.699","CDCA5 KIF14 KIF18A KIF2C NDE1 CCNB1 CDT1 KIFC1 NUF2 PSRC1 FAM83D RRS1 VPS4B CHMP2B CHMP1B BOD1"
"0","GO:0006364","rRNA processing","0.00001710548","2.2208359999999994","-0.097","0.69","EXOSC2 PES1 DCAF13 DKC1 FBL MRTO4 NOP2 RRS1 LAS1L EXOSC4 EXOSC8 RPS21 EXOSC7 EXOSC5 EXOSC3 WDR12 C1D NHP2 RIOK3 NOLC1 NAT10 RPUSD2 NSUN5 TFB1M HEATR1 WDR75 UTP15 WDR43 RIOK1 TRMT112 NOP56 BYSL NOL6 WDR74 BOP1 DHX37 NOP58 RRP1 RRP9 WDR46 NOB1 RCL1 UTP14A TEX10 RPS14 PDCD11 RPL35 URB1"
"0","GO:0003014","renal system process","0.008560083","2.2138959999999996","-0.337","-0.522","CYP4F12 F2R ADCY3 MYO5B PDGFB SULF1 XPNPEP3 IGKV3-20 IGHA2 IGHA1 JCHAIN HYAL2 F2RL1 SGK1 PTPRO ADCY6 GSN SLC9A3R1 PCSK5 ADCY9 PRKACB PRKAR2B"
"0","GO:0000082","G1/S transition of mitotic cell cycle","0.002575867","2.167451","-0.623","0.265","MAX INHBA CDC45 CDC6 E2F1 MCM2 MCM5 CDT1 CDK4 PCNA CDKN2A MCM7 MCM3 MCM6 CCND1 CCNE1 CDKN1A ID2 ZPR1 EIF4EBP1 ACVR1B RRM2 RCC1 MCM10 ORC6 MYC GFI1 POLA1"
"0","GO:0044242","cellular lipid catabolic process","0.00006222797","2.156391999999999","-0.318","0.57","ALDH3A2 PCK1 ABCD3 ACAA1 ACADVL ACAT1 ACOX1 ECHS1 CYP4F12 ETFDH HADH GBA HIBCH PCCA SLC27A2 PRDX6 FABP1 SPHK1 ACAA2 FUCA1 SMPDL3B BDH2 CPT2 DECR1 AKR1B10 GDE1 PECR GDPD1 ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 MMAA GALC PLA2G4A NEU4 ENPP6 MGST2 SCP2 LPIN1"
"0","GO:0060349","bone morphogenesis","0.04187214","2.1468080000000005","-0.639","-0.325","COL12A1 COL7A1 HOXA11 MATN2 STC1 SOX9 FGFR2 MSX2 TFAP2A TWIST1 LRP5L TRPV4 SFRP4 SCX BMP4 IFITM5"
"0","GO:0044843","cell cycle G1/S phase transition","0.003038489","2.1468080000000005","-0.496","0.215","MAX INHBA CDC45 CDC6 E2F1 MCM2 MCM5 CDK4 CDKN2A MCM7 MCM3 MCM6 CCND1 CCNE1 CDKN1A ID2 ZPR1 EIF4EBP1 ACVR1B RRM2 RCC1 MCM10 ORC6 MYC GFI1 POLA1 PCNA CDT1"
"0","GO:0007369","gastrulation","0.0125202","2.1338760000000008","-0.602","-0.272","COL12A1 COL4A2 COL7A1 HOXA11 INHBA MMP9 EYA2 FN1 MMP14 COL8A1 MMP8 LEF1 TBX20 ITGA8 SIX2 LRP5L SCX BMP4 UGDH KLF4 SNAI1 ITGA2"
"0","GO:0060485","mesenchyme development","0.0005418317","2.112550999999999","-0.562","-0.363","LOXL2 FN1 LOXL3 CORO1C TAPT1 PDCD4 TCOF1 CTNNB1 HGF BMP7 ROBO2 SEMA6A SOX9 FGFR2 SIX4 TCF21 WT1 CITED2 ISL1 SNAI1 BMP2 FAM83D BMP4 LEF1 TBX20 NOLC1 SIX2 PHOX2B SEMA7A WNT5A NOS3 SEMA3F SEMA4G SEMA5B DLG5 HEYL SEMA4C"
"0","GO:0016072","rRNA metabolic process","0.00002706763","2.103657","-0.141","0.654","EXOSC2 PES1 ANG DCAF13 DKC1 FBL GTF3C6 MRTO4 NOP2 LAS1L EXOSC4 RPS21 EXOSC8 EXOSC7 EXOSC5 EXOSC3 WDR12 C1D RRS1 RIOK3 NOLC1 NAT10 NHP2 RPUSD2 NSUN5 TFB1M WDR75 UTP15 HEATR1 WDR43 RIOK1 TRMT112 NOP56 URB1 BYSL NOL6 WDR74 BOP1 CD3EAP DHX37 NOP58 RRP1 RRP9 WDR46 NOB1 RCL1 UTP14A PELO TEX10 RPS14 PDCD11 RPL35"
"0","GO:0016999","antibiotic metabolic process","0.005271536","2.068027","-0.379","0.394","ADH1C ALDH1B1 ALDH2 ACO2 IDH3A OGDHL SUCLG1 SDHB SDHC PXDN MPO PRDX6 GPX1 AKR1C2 ALDH1A1 PRDX4 ME2 SULT1A2 AKR1B10 SULT1A1 SULT1B1 ST3GAL1 PCK1 MDH1 IDH2 SDHD SUCLG2 MTHFD1L"
"0","GO:0048732","gland development","0.002364837","2.060936","-0.555","-0.348","PCK1 WNT2 APLN MET THRB DKK3 CEBPB CRIP1 PROX1 INSM1 PTF1A STRA6 TDGF1 LRP5L TCF21 NOTCH4 WT1 CITED2 WNT7B EPHB3 SLC9A3R1 RPS6KA1 ZBTB7B TG SOX9 FGFR2 ID2 IGSF3 BMP2 LEF1 CSNK2B OXTR"
"0","GO:0016042","lipid catabolic process","0.00008422828","2.032962999999999","-0.223","0.556","ALDH3A2 PCK1 ABCD3 ACAA1 ACADVL ACAT1 ACOX1 ECHS1 CYP4F12 ETFDH HADH HIBCH PCCA SLC27A2 PRDX6 FABP1 SPHK1 CYP19A1 ACAA2 FUCA1 SMPDL3B BDH2 CYP24A1 CPT2 DECR1 AKR1B10 GDE1 PECR GDPD1 ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 MMAA SCP2 LPIN1 MGST2 SPP1 GBA CES3 GALC PLA2G4A HSD17B11 NEU4 ENPP6"
"0","GO:0030198","extracellular matrix organization","0.00000350233","2.0277659999999993","-0.538","0.143","ADAM12 COL12A1 COL10A1 COL4A2 COL1A1 COL7A1 GREM1 COL1A2 COL3A1 COL5A1 COL4A1 LOXL2 MMP9 COL5A2 COL5A3 SERPINH1 LAMC2 MMP1 MMP11 MMP12 MMP3 POSTN SERPINE1 SPARC BGN FN1 COL16A1 COL2A1 MMP14 COL4A5 COL4A6 KIF9 LOXL3 LUM MMP10 PLOD2 PLOD3 NID2 PXDN TGFBI SPP1 COL18A1 ITGA8 KLKB1 ELN SULF1 WT1 ITGAM ADAMTS9 CD44 SCX FBN1 PDGFB TTR VWF ITGA11 ADAM19 LAMA1 MMP7 TIMP1 COL8A1 MMP8 KLK7 LOX ITGA2 VCAN SH3PXD2B"
"0","GO:0000070","mitotic sister chromatid segregation","0.01635988","2.0126329999999992","-0.482","-0.529","CDCA5 KIF14 KIF23 KIF18A CDT1 CCNB1 PSRC1 KIF18B KIF4A RACGAP1 RAN DSN1 KIFC1 NUF2 PRC1 RRS1 VPS4B CHMP2B CHMP1B KNSTRN BOD1 MSTO1 KIF2C PLK1"
"0","GO:0060348","bone development","0.01842714","1.9918840000000007","-0.56","-0.37","COL12A1 COL7A1 FGFR2 STC1 MATN2 MSX2 BMP4 BMP2 KIT PTGER4 TFAP2A TWIST1 SULF1 LRP5L PLXNB1 P3H1 TRPV4 SFRP4 SCX SH3PXD2B IFITM5 PLS3 SOX9 HOXA11"
"0","GO:0043648","dicarboxylic acid metabolic process","0.03691112","1.9877860000000005","-0.376","0.506","PCK1 SLC25A32 IDH2 SUCLG1 SHMT2 GOT1 GLS2 NIT2 MTHFR ME2 GAD1 ALDH18A1 FPGS NMNAT1 NMNAT3 HOGA1 MRPS36 MTHFD2 MDH1 MTHFD1L"
"0","GO:0007568","aging","0.049093","1.9610269999999999","-0.352","-0.327","TP53 LOXL2 SERPINE1 NOX4 PDCD4 CDKN2A DKK1 CDKN1A ID2 ATR PSEN1 NSMCE2 KL CDKN2B CD68 ULK3 KRT16 KRT14 KRT83"
"0","GO:0045216","cell-cell junction organization","0.01785375","1.9380910000000007","-0.53","0.129","ECT2 F2R FSCN1 PDCD6IP CD177 RHOC PARD6A F2RL1 PTPRO EPB41L3 TRPV4 CDH13 CDH3 NLGN4X DSG1 PKP1 DSG2 CTNND1 MPP5 CLDN1 CDH11 CDH6 ARVCF PLEKHA7 GJA4 APC"
"0","GO:0097529","myeloid leukocyte migration","0.02584285","1.9321279999999994","-0.676","0.194","TNFSF11 CXCR2 CCL3 CCL26 CXCL10 S100A9 CXCL1 CXCL11 IL1RN LGALS3 CXCL8 PPBP CHGA IL6R PDGFB KIT TNFRSF11A CD177 PTPRO CCL4 XCL2 GBF1 CXCL5 CCL5"
"0","GO:0030258","lipid modification","0.003885356","1.8972589999999996","-0.301","0.521","ALDH3A2 ABCD3 PPARGC1A ACAA1 ACADVL ACAT1 ACOX1 ECHS1 ETFDH HADH EPHX2 GBA HIBCH SLC27A2 ACAA2 SOCS2 PLPP3 SLA2 INPP5J BDH2 SYNJ1 CPT2 SOAT1 DECR1 PECR CYP4V2 ACAD10 AUH EHHADH CROT ECHDC1 HADHA ACADM HADHB ECI2 SOCS6 SCP2"
"0","GO:0001894","tissue homeostasis","0.02929345","1.8809649999999993","-0.036","-0.529","RCN3 F2R MUC13 IL7 PTK2B P2RX4 RBP4 NOS3 IGHA1 IGHA2 JCHAIN NOD2 GPR55 SCX GCNT2 CDH3 PBLD B2M PIGR AZGP1 IGKC DRAM2 MUC6 POTEF SOX9"
"0","GO:0006261","DNA-dependent DNA replication","0.0315339","1.8635489999999995","-0.133","0.699","CDC45 EME1 MCM2 RFC4 ACD CDT1 PCNA POLA1 RFC2 RFC3 GINS2 GINS4 RNASEH2A RNASEH1 RFWD3 RTEL1 ZPR1 BRCA2 MCM10 ORC6 LRWD1 SSBP1 POLB POLD2 POLD4"
"0","GO:0140014","mitotic nuclear division","0.01916498","1.8529000000000004","-0.662","0.241","CDCA5 PLK1 UBE2C KIF23 KIF18A KIF2C NDE1 TPX2 CDT1 CCNB1 NEK2 PSRC1 KIF18B KIF4A RACGAP1 RAN UBE2S DSN1 KIFC1 NUF2 PRC1 RRS1 VPS4B CHMP2B CHMP1B KNSTRN BOD1 MSTO1 KIF14"
